ano	pais	sigla	evento	id_modalidade	sexo	marca	atletas
1896	Estados Unidos	USA	100m rasos	35	M	12.	Thomas BURKE
1900	Estados Unidos	USA	100m rasos	35	M	11.	Frank JARVIS
1904	Estados Unidos	USA	100m rasos	35	M	11.	Archie HAHN
1908	África do Sul	RSA	100m rasos	35	M	10.8	Reggie WALKER
1912	Estados Unidos	USA	100m rasos	35	M	10.8	Ralph CRAIG
1920	Estados Unidos	USA	100m rasos	35	M	10.8	Charles PADDOCK
1924	Grã-Bretanha	GBR	100m rasos	35	M	10.6	Harold ABRAHAMS
1928	Estados Unidos	USA	100m rasos	35	F	12.2	Elizabeth ROBINSON
1928	Canadá	CAN	100m rasos	35	M	11.	Percy WILLIAMS
1932	Polônia	POL	100m rasos	35	F	11.9	Stanislawa WALASIEWICZ
1932	Estados Unidos	USA	100m rasos	35	M	10.3	Eddie TOLAN
1936	Estados Unidos	USA	100m rasos	35	F	11.5	Helen STEPHENS
1936	Estados Unidos	USA	100m rasos	35	M	10.3	Jesse OWENS
1948	Holanda	NED	100m rasos	35	F	11.9	Fanny BLANKERS-KOEN
1948	Estados Unidos	USA	100m rasos	35	M	10.3	Harrison DILLARD
1952	Austrália	AUS	100m rasos	35	F	11.5	Marjorie JACKSON
1952	Estados Unidos	USA	100m rasos	35	M	10.4	Lindy REMIGINO
1956	Austrália	AUS	100m rasos	35	F	11.5	Betty CUTHBERT
1956	Estados Unidos	USA	100m rasos	35	M	10.5	Bobby MORROW
1960	Estados Unidos	USA	100m rasos	35	F	11.0	Wilma RUDOLPH
1960	Equipe Alemã Unida	EUA	100m rasos	35	M	10.2	Armin HARY
1964	Estados Unidos	USA	100m rasos	35	F	11.4	Wyomia TYUS
1964	Estados Unidos	USA	100m rasos	35	M	10.0	Bob HAYES
1968	Estados Unidos	USA	100m rasos	35	M	9.95	Jim HINES
1968	Estados Unidos	USA	100m rasos	35	F	11.	Wyomia TYUS
1972	Alemanha Oriental	GDR	100m rasos	35	F	11.07	Renate STECHER
1972	União Soviética	URS	100m rasos	35	M	10.14	Valery BORZOV
1976	Alemanha Ocidental	FRG	100m rasos	35	F	11.08	Annegret RICHTER-IRRGANG
1976	Trinidad e Tobago	TTO	100m rasos	35	M	10.06	Hasely CRAWFORD
1980	União Soviética	URS	100m rasos	35	F	11.06	Lyudmila KONDRATYEVA
1980	Grã-Bretanha	GBR	100m rasos	35	M	10.25	Allan WELLS
1984	Estados Unidos	USA	100m rasos	35	F	10.97	Evelyn ASHFORD
1984	Estados Unidos	USA	100m rasos	35	M	9.99	Carl LEWIS
1988	Estados Unidos	USA	100m rasos	35	F	10.54	Florence GRIFFITH JOYNER
1988	Estados Unidos	USA	100m rasos	35	M	9.92	Carl LEWIS
1992	Estados Unidos	USA	100m rasos	35	F	10.82	Gail DEVERS
1992	Grã-Bretanha	GBR	100m rasos	35	M	9.96	Linford CHRISTIE
1996	Estados Unidos	USA	100m rasos	35	F	10.94	Gail DEVERS
1996	Canadá	CAN	100m rasos	35	M	9.84	Donovan BAILEY
2000	Estados Unidos	USA	100m rasos	35	M	9.87	Maurice GREENE
2000	Grécia	GRE	100m rasos	35	F	11.12	Ekaterini THANOU
2004	Belarus	BLR	100m rasos	35	F	10.93	Yuliya NESTSIARENKA
2004	Estados Unidos	USA	100m rasos	35	M	9.85	Justin GATLIN
2008	Jamaica	JAM	100m rasos	35	F	10.78	Shelly-Ann FRASER-PRYCE
2008	Jamaica	JAM	100m rasos	35	M	9.69	Usain BOLT
2012	Jamaica	JAM	100m rasos	35	F	10.75	Shelly-Ann FRASER-PRYCE
2012	Jamaica	JAM	100m rasos	35	M	9.63	Usain BOLT
2016	Estados Unidos	USA	100m rasos	35	F	10.8	Tori BOWIE
2016	Jamaica	JAM	100m rasos	35	M	9.81	Usain BOLT